Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive
7	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
8	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
8	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
9	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
9	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
10	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
10	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
11	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
11	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
12	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
12	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
13	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
13	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
14	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
14	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
15	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
15	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
16	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
16	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
17	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
17	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
18	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
18	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
19	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
19	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
20	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
20	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
21	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
21	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
22	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
22	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
23	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
23	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
24	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
24	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
25	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
25	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
26	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.49, 0.49, 0.49, 0.49	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
26	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.49, 0.49, 0.49, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
27	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.49, 0.49, 0.49, 0.49	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
27	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.49, 0.49, 0.49, 0.49	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
28	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.48, 0.48, 0.48, 0.48	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
28	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.48, 0.48, 0.48, 0.48	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
29	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.47, 0.47, 0.47, 0.47	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
29	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.46, 0.46, 0.46, 0.46	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
30	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.45, 0.46, 0.45, 0.45	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
30	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.45, 0.46, 0.44, 0.45	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
31	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.43, 0.44, 0.43, 0.43	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
31	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.43, 0.44, 0.43, 0.43	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
32	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.41, 0.42, 0.41, 0.41	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
32	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.41, 0.42, 0.40, 0.41	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
33	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.39, 0.40, 0.38, 0.38	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
33	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.40, 0.41, 0.39, 0.40	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
34	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.37, 0.39, 0.36, 0.36	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
34	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.38, 0.39, 0.36, 0.38	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
35	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.35, 0.37, 0.34, 0.34	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
35	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.36, 0.38, 0.35, 0.36	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
36	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.33, 0.35, 0.32, 0.31	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
36	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.35, 0.37, 0.34, 0.35	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
37	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.31, 0.34, 0.30, 0.29	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
37	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.34, 0.36, 0.33, 0.34	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
38	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.30, 0.33, 0.28, 0.28	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
38	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.33, 0.35, 0.32, 0.33	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
39	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.29, 0.32, 0.27, 0.27	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
39	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.33, 0.35, 0.32, 0.33	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
40	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.28, 0.32, 0.26, 0.26	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
40	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.34, 0.31, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
41	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.27, 0.31, 0.25, 0.25	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
41	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.34, 0.31, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
42	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.27, 0.31, 0.25, 0.25	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
42	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.34, 0.30, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
43	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.27, 0.31, 0.25, 0.25	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
43	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.34, 0.30, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
44	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.27, 0.31, 0.25, 0.25	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
44	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.33, 0.30, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
45	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.27, 0.31, 0.25, 0.25	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
45	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.33, 0.30, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
46	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.27, 0.31, 0.25, 0.25	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
46	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.33, 0.30, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
47	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.27, 0.31, 0.25, 0.25	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
47	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.34, 0.31, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
48	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.27, 0.31, 0.26, 0.25	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
48	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.32, 0.34, 0.31, 0.32	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
49	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.28, 0.32, 0.26, 0.26	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
49	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.33, 0.34, 0.32, 0.33	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
50	train	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.28, 0.32, 0.26, 0.26	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
50	valid	1.04, 1.54, 1.54, 1.54	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.33, 0.34, 0.32, 0.33	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
